"Quiz Duel","Quizduell"
"Admin","Admin"
"Open the presentation for an existing game","Präsentation für ein vorhandenes Spiel öffnen"
"Select published game","Freigegebenes Spiel auswählen"
"Loading games…","Spiele werden geladen…"
"Please select…","Bitte auswählen…"
"Open presentation","Präsentation öffnen"
"Open token manually","Token manuell öffnen"
"e.g. https://.../#/t/XXXXXXXX or token","z. B. https://.../#/t/XXXXXXXX oder Token"
"Open","Öffnen"
"Token found","Token erkannt"
"Redirecting…","Leite weiter…"
"No valid token found.","Kein gültiger Token erkannt."
"Token is invalid.","Token ist ungültig."
"This is not a presentation token.","Das ist kein Präsentations-Token."
"No connection","Keine Verbindung"
"Websocket connected","Websocket verbunden"
"Coming soon","Hier könnte demnächst was passieren"
"Enter name","Name eingeben"
"Your name","Dein Name"
"Join","Beitreten"
"Question","Frage"
"Questions","Fragen"
"Question {index}","Frage {index}"
"Question {current} / {total}","Frage {current} / {total}"
"Submit answer","Antwort abgeben"
"Submit estimate","Schätzung abgeben"
"Submit order","Reihenfolge abgeben"
"Your estimate","Deine Schätzung"
"Waiting for questions…","Warte auf Fragen…"
"Game finished!","Spiel beendet!"
"Your score:","Deine Punktzahl:"
"Correct answers: {score} of {total}","Korrekte Antworten: {score} von {total}"
"Your personal result card","Deine persönliche Ergebnis-Card"
"Copy link","Link kopieren"
"Open card","Karte öffnen"
"Open PNG","PNG öffnen"
"Waiting for game start","Warten auf Spielbeginn"
"Game:","Spiel:"
"Game: {title} · Questions: {count}","Spiel: {title} · Fragen: {count}"
"Game: {title} · Question {current} / {total}","Spiel: {title} · Frage {current} / {total}"
"You can submit answers before the game starts. Changes are possible until reveal.","Du kannst die Antworten schon vor Spielstart abgeben. Änderungen bleiben bis zur Auflösung möglich."
"Thanks for playing!","Vielen Dank fürs Mitspielen!"
"Questions are being prepared","Fragen werden vorbereitet"
"You","Du"
"You can answer once the admin starts the game.","Sobald der Admin das Spiel startet, kannst du antworten."
"Player","Spieler"
"Guest team","Gäste-Team"
"Loading results…","Lade Ergebnis…"
"Winner","Gewinner"
"Result not available.","Ergebnis nicht verfügbar."
"Copy failed.","Kopieren fehlgeschlagen."
"Link copied.","Link kopiert."
"Your personal result card","Deine persönliche Ergebnis-Card"
"Copy personal link","Persönlichen Link kopieren"
"Open personal PNG","Persönliches PNG öffnen"
"Open ranking PNG","Ranking-PNG öffnen"
"No ranking available yet.","Noch keine Rangliste verfügbar."
"Reveal in progress. Answer is locked now.","Auflösung läuft. Antwort ist jetzt gesperrt."
"Answer saved. You can edit until reveal.","Antwort gespeichert. Du kannst bis zur Auflösung ändern."
"Please enter a name.","Bitte gib einen Namen ein."
"Could not load personal card.","Persönliche Card konnte nicht geladen werden."
"Revealed. Answer is locked.","Aufgelöst. Antwort ist gesperrt."
"Saved for start.","Gespeichert für den Start."
"Saved. You can edit until reveal.","Gespeichert. Du kannst bis zur Auflösung ändern."
"the player","den Spieler"
"You know {playerName} best. Rank {rank} of {total}.","Du kennst {playerName} am besten. Platz {rank} von {total}."
"Rank {rank} of {total}.","Platz {rank} von {total}."
"Waiting for start in admin","Warte auf Start im Admin"
"Reveal","Auflösen"
"Show results","Ergebnisse anzeigen"
"Next question","Nächste Frage"
"Everyone has submitted","Alle haben abgegeben"
"Reveal starts…","Auflösung startet…"
"Share results","Ergebnis teilen"
"Open result link","Ergebnis-Link öffnen"
"Who knows {playerName} best?","Wer kennt {playerName} am besten?"
"Risk question: correct +2, wrong -2","Risiko-Frage: richtig +2, falsch -2"
"Question image","Fragebild"
"Estimate question in progress.","Schätzfrage läuft."
"Put these answers in the correct order:","Bringe diese Antworten in die richtige Reihenfolge:"
"Answered","Hat geantwortet"
"Waiting...","Wartet..."
"All guests answered","Alle Gäste haben geantwortet"
"Collecting answers...","Antworten laufen..."
"Result:","Ergebnis:"
"Estimate question","Schätzfrage"
"Tolerance:","Toleranz:"
"Target value","Zielwert"
"Delta:","Abweichung:"
"Guests (median)","Gäste (Median)"
"Target","Ziel"
"Correct order","Korrekte Reihenfolge"
"Answer {playerName}","Antwort {playerName}"
"correct","korrekt"
"Solution","Lösung"
"Score","Stand"
"Fullscreen","Vollbild"
"Could not load share link.","Share-Link konnte nicht geladen werden."
"Back","Zurück"
"Start game","Spiel starten"
"Stop game","Spiel beenden"
"Delete all guests + answers","Alle Gäste + Antworten löschen"
"Delete game","Spiel löschen"
"Status: {status} · Questions: {count}","Status: {status} · Fragen: {count}"
"Current score","Aktueller Spielstand"
"Current guests ({count})","Aktuelle Gäste ({count})"
"No guests joined yet.","Noch keine Gäste beigetreten."
"Game configuration","Spiel-Konfiguration"
"Published (homepage)","Freigegeben (Startseite)"
"Show current score","Aktuellen Stand anzeigen"
"Auto reveal when everyone has submitted","Automatisch auflösen, wenn alle abgegeben haben"
"Auto reveal delay (seconds)","Auto-Auflösung Verzögerung (Sekunden)"
"Quiz UI language","Quiz-UI-Sprache"
"Player name","Spielername"
"Save","Speichern"
"Finish: winner text","Ende: Gewinner-Text"
"Text when guests win","Text wenn Gäste gewinnen"
"Text for guests win","Text für Gäste-Sieg"
"Text when {playerName} wins","Text wenn {playerName} gewinnt"
"Text for player win","Text für Spieler-Sieg"
"Text on tie","Text bei Unentschieden"
"Import/Export","Import/Export"
"Apply, export, or save question packages with media.","Fragenpakete inklusive Medien anwenden, exportieren oder als eigenes Paket speichern."
"Apply template","Vorlage anwenden"
"Select package…","Paket auswählen…"
"Template","Vorlage"
"Custom","Eigen"
"Replace","Ersetzen"
"Append","Anhängen"
"Apply","Anwenden"
"No description.","Keine Beschreibung."
"Reload packages","Pakete neu laden"
"Export current questions including media as a file.","Exportiert die aktuellen Fragen inklusive Medien als Datei."
"Export JSON","JSON exportieren"
"Export CSV","CSV exportieren"
"Select a file and choose replace or append.","Datei wählen und festlegen, ob ersetzt oder angehängt werden soll."
"Replace questions","Fragen ersetzen"
"Append questions","Fragen anhängen"
"Optional: save as custom package","Optional: als eigenes Paket speichern"
"Start import","Import starten"
"Save current game as package","Aktuelles Spiel als Paket speichern"
"Package name","Paketname"
"Save as package","Als Paket speichern"
"Description (optional)","Beschreibung (optional)"
"Question list (Drag & Drop + blocks)","Fragenliste (Drag & Drop + Blöcke)"
"Add new question","Neue Frage hinzufügen"
"Save order","Reihenfolge speichern"
"New block name","Neuer Blockname"
"Add block","Block hinzufügen"
"No questions yet.","Noch keine Fragen vorhanden."
"Delete","Löschen"
"Edit question","Frage bearbeiten"
"New question","Neue Frage"
"Close","Schließen"
"Question text","Fragetext"
"Block name","Blockname"
"Order question","Reihenfolge-Frage"
"Media question (image/audio/video)","Media-Frage (Bild/Audio/Video)"
"Risk question (+2 / -2)","Risiko-Frage (+2 / -2)"
"Multiple answers allowed","Mehrere Antworten möglich"
"Estimate settings","Schätzfrage Einstellungen"
"Question media (image/audio/video)","Media für die Frage (Bild/Audio/Video)"
"Media URL (or choose file below)","Media-URL (oder unten Datei wählen)"
"Media preview","Media-Vorschau"
"Options in correct order","Optionen in korrekter Reihenfolge"
"Answer options","Antwortoptionen"
"Add option","Option hinzufügen"
"Solution after reveal","Lösung nach Auflösung"
"Media + text","Media + Text"
"Explanation / solution text","Erklärung / Lösungstext"
"Solution preview","Lösungsvorschau"
"Update","Aktualisieren"
"General","Allgemein"
"Please enter a question text.","Bitte einen Fragetext eingeben."
"Please enter a block name.","Bitte einen Blocknamen eingeben."
"Please enter a valid target value.","Bitte einen gültigen Zielwert eingeben."
"Tolerance must be a number >= 0.","Toleranz muss eine Zahl >= 0 sein."
"Please provide a media URL or file.","Bitte eine Media-URL oder Datei angeben."
"Media must be image, audio or video.","Media muss Bild, Audio oder Video sein."
"Please fill at least 2 answer options.","Bitte mindestens 2 Antwortoptionen ausfüllen."
"Select at least one correct option.","Mindestens eine richtige Option auswählen."
"Select exactly one correct option for single choice.","Bei Single-Choice genau eine richtige Option auswählen."
"Please enter a solution text.","Bitte einen Lösungstext eingeben."
"Please provide solution media.","Bitte eine Lösungs-Media angeben."
"Solution media must be image, audio or video.","Lösungs-Media muss Bild, Audio oder Video sein."
"Order","Reihenfolge"
"Risk","Risiko"
"Media question: please provide image, audio or video.","Media-Frage: Bitte Bild, Audio oder Video angeben."
"Image question: please provide an image.","Bildfrage: Bitte ein Bild angeben."
"Audio question: please provide an audio file/URL.","Audio-Frage: Bitte eine Audio-Datei/URL angeben."
"Video question: please provide a video file/URL.","Video-Frage: Bitte eine Video-Datei/URL angeben."
"Invalid upload type.","Ungültiger Upload-Typ."
"File type does not match the selected field.","Dateityp passt nicht zum gewählten Feld."
"No file provided.","Keine Datei übergeben."
"File exceeds server limit.","Datei überschreitet das Serverlimit."
"File could not be processed.","Datei konnte nicht verarbeitet werden."
"Upload/optimization failed.","Upload/Optimierung fehlgeschlagen."
"Upload is too large for the server. Please use a smaller file.","Upload ist zu groß für den Server. Bitte kleinere Datei verwenden."
"No questions available.","Keine Fragen vorhanden."
"Please select a question package first.","Bitte zuerst ein Fragepaket auswählen."
"Question package not found.","Fragepaket nicht gefunden."
"JSON file is invalid.","JSON-Datei ist ungültig."
"CSV file does not include all required columns.","CSV-Datei hat nicht alle benötigten Spalten."
"This action is blocked during a live game.","Während eines Live-Spiels ist diese Aktion gesperrt."
"Error: {error}","Fehler: {error}"
"Please select a question package.","Bitte ein Fragepaket auswählen."
"Apply selected package and replace current questions?","Ausgewähltes Paket anwenden und aktuelle Fragen ersetzen?"
"Append selected package to existing questions?","Ausgewähltes Paket an vorhandene Fragen anhängen?"
"Question package imported ({count} questions).","Fragepaket importiert ({count} Fragen)."
"Please enter a package name.","Bitte einen Paketnamen angeben."
"Custom question package saved.","Eigenes Fragepaket gespeichert."
"Export ({format}) ready.","Export ({format}) bereit."
"Please select a file first.","Bitte zuerst eine Datei auswählen."
"Import successful ({count} questions).","Import erfolgreich ({count} Fragen)."
"Winner texts saved.","Gewinner-Texte gespeichert."
"Please check the marked fields.","Bitte prüfe die markierten Felder."
"Please save media via file upload or URL, not as data URL.","Bitte Media per Datei-Upload oder URL speichern, nicht als data:-URL."
"Question updated.","Frage aktualisiert."
"Question saved.","Frage gespeichert."
"Delete question?","Frage wirklich löschen?"
"Question deleted.","Frage gelöscht."
"Block ""{label}"" added.","Block ""{label}"" hinzugefügt."
"Order saved.","Reihenfolge gespeichert."
"Game configuration saved.","Spiel-Konfiguration gespeichert."
"Delete ALL guests and answers? (Questions remain)","Wirklich ALLE Gäste und Antworten löschen? (Fragen bleiben erhalten)"
"All guests and answers deleted.","Alle Gäste und Antworten gelöscht."
"Player name saved.","Spielername gespeichert."
"Stop game? The pages will return to waiting mode.","Spiel wirklich beenden? Die Seiten wechseln zurück zum Wartehinweis."
"Delete game ""{title}""? This action cannot be undone.","Spiel ""{title}"" wirklich löschen? Diese Aktion kann nicht rückgängig gemacht werden."
"Link copied.","Link kopiert."
"Copy failed.","Kopieren fehlgeschlagen."
"Master admin session","Master-Admin Session"
"Manage games and create a new game","Spiele verwalten und neues Spiel erstellen"
"UI language","UI-Sprache"
"Login with env ADMIN_TOKEN (afterwards everything runs via session token)","Login mit env ADMIN_TOKEN (danach läuft alles über Session-Token)"
"Session active","Session aktiv"
"Reload","Neu laden"
"Logout","Logout"
"No games found.","Keine Spiele gefunden."
"Published:","Freigegeben:"
"yes","ja"
"no","nein"
"Edit","Bearbeiten"
"Presentation","Präsentation"
"Results","Ergebnis"
"Title, e.g. Birthday Quiz","Titel, z. B. Geburtstagsquiz"
"Game UI language","Spiel-UI-Sprache"
"Create game","Spiel erstellen"
"Admin link","Admin-Link"
"Presentation link","Präsentation-Link"
"Guest live","Gäste Live"
"Guest async","Gäste Voraus"
"QR codes (PNG):","QR Codes (PNG):"
"Async","Voraus"
"Please login first.","Bitte zuerst einloggen."
"Login failed.","Login fehlgeschlagen."
"Signed out.","Abgemeldet."
"Session expired. Please login again.","Session abgelaufen. Bitte neu einloggen."
"Game deleted.","Spiel gelöscht."
"setup","vorbereitung"
"live","live"
"finished","beendet"
"Open","Offen"
"Quiz Duel Results","Quizduell Ergebnis"
"Share this score as link or PNG.","Teile diesen Stand als Link oder PNG."
"Top ranking","Top-Ranking"
"Points","Punkte"
"Rank {rank} of {total}","Platz {rank} von {total}"
"Your card","Deine Karte"
"Guests","Gäste"
"Tie","Unentschieden"
"pts.","Pkt."
"Target value (e.g. 42)","Zielwert (z. B. 42)"
"Answer","Antwort"
"Cancel","Abbrechen"
"Answer stats","Antwort-Statistik"
"Type","Typ"
"options","Optionen"
"+/-2 points","+/-2 Punkte"
"Sort via drag and drop (or with ↑/↓).","Per Drag-and-Drop sortieren (oder mit ↑/↓)."
"drag","ziehen"
